#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
# All data in million as of 1-Jul each year
#
# data composed from:
# prior 1950: Wikipedia and other sources, interpolated
# 1950-2015: UNESCO/UN Population division: POP/DB/WPP/Rev.2017/POP/F01-1
# 2016-2017: extrapolation of the UN data using World Bank dataset
# http://databank.worldbank.org/data/home.aspx
#
# Horizontal conversion = 46,831,1900,2100,pixels
# Vertical conversion = 819,105,0,1,pixels
#
# Sigmoid( x0=2010.000, s0=0.10795, left=0.200, right=0.100, shift=0.000)
# Hubbert( x0=2012.000, s0=0.05698, s1=0.10617, peak=0.315, shift=0.000)
# Hubbert( x0=1931.000, s0=0.11859, s1=0.16268, peak=0.022, shift=0.000)
# Hubbert( x0=1975.000, s0=0.10673, s1=0.22040, peak=0.016, shift=0.000)
# Hubbert( x0=2000.000, s0=0.25105, s1=0.31381, peak=-0.016, shift=0.000)
# Hubbert( x0=2062.000, s0=0.13509, s1=0.12683, peak=-0.028, shift=0.000)
#
Year,Food_PC
1900.000,0.200
1905.000,0.206
1910.000,0.210
1915.000,0.217
1920.000,0.223
1925.000,0.227
1930.000,0.234
1935.000,0.235
1940.000,0.232
1945.000,0.234
1950.000,0.242
1955.000,0.255
1960.000,0.269
1965.000,0.284
1970.000,0.310
1975.000,0.336
1980.000,0.361
1985.000,0.385
1990.000,0.402
1995.000,0.424
2000.000,0.441
2005.000,0.458
2010.000,0.462
2015.000,0.447
2020.000,0.392
2025.000,0.314
2030.000,0.242
2035.000,0.200
2040.000,0.168
2045.000,0.130
2050.000,0.105
2055.000,0.090
2060.000,0.080
2065.000,0.077
2070.000,0.080
2075.000,0.083
2080.000,0.087
2085.000,0.095
2090.000,0.099
2095.000,0.101
2100.000,0.101
