#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
# All data in million as of 1-Jul each year
#
# data composed from:
# prior 1950: Wikipedia and other sources, interpolated
# 1950-2015: UNESCO/UN Population division: POP/DB/WPP/Rev.2017/POP/F01-1
# 2016-2017: extrapolation of the UN data using World Bank dataset
# http://databank.worldbank.org/data/home.aspx
#
# Horizontal conversion = 46,831,1900,2100,pixels
# Vertical conversion = 819,105,0,1,pixels
#
# Hubbert( x0=2034.000, s0=0.11938, s1=0.13576, peak=0.339, shift=0.000)
# Hubbert( x0=2005.000, s0=0.07362, s1=0.12681, peak=0.058, shift=0.000)
# Hubbert( x0=2035.000, s0=0.26795, s1=0.34906, peak=-0.017, shift=0.000)
# Hubbert( x0=2061.000, s0=0.28971, s1=0.03610, peak=0.012, shift=0.000)
# Hubbert( x0=1950.000, s0=0.11596, s1=0.08770, peak=0.009, shift=0.000)
#
Year,Pollution
1900.000,0.000
1905.000,0.000
1910.000,0.000
1915.000,0.000
1920.000,0.001
1925.000,0.003
1930.000,0.006
1935.000,0.008
1940.000,0.008
1945.000,0.010
1950.000,0.013
1955.000,0.011
1960.000,0.014
1965.000,0.020
1970.000,0.021
1975.000,0.028
1980.000,0.029
1985.000,0.038
1990.000,0.046
1995.000,0.064
2000.000,0.076
2005.000,0.098
2010.000,0.120
2015.000,0.160
2020.000,0.206
2025.000,0.273
2030.000,0.311
2035.000,0.322
2040.000,0.256
2045.000,0.203
2050.000,0.130
2055.000,0.084
2060.000,0.050
2065.000,0.032
2070.000,0.020
2075.000,0.015
2080.000,0.013
2085.000,0.010
2090.000,0.010
2095.000,0.010
2100.000,0.014
