Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
Afghanistan	7.8	33.7	7.5	4.8	27.5	63.3	4.35
Angola	4.5	27.9	7.3	5.8	31.0	61.2	6.13
Bangladesh	37.9	161.2	6.2	2.1	39.1	72.2	4.25
Benin	2.3	10.6	5.8	5.0	32.7	60.6	4.69
Bhutan	0.2	0.8	6.7	2.1	31.7	69.8	4.45
Burkina Faso	4.3	18.1	6.0	5.4	30.0	59.9	4.23
Burundi	2.3	10.2	6.8	5.8	38.4	57.1	4.42
Cameroon	4.3	22.8	5.5	4.8	37.9	57.6	5.30
Central African Republic	1.3	4.5	5.4	4.9	32.6	51.4	3.43
Chad	2.5	14.0	6.1	6.0	35.5	52.6	5.60
Comoros	0.2	0.8	5.7	4.4	38.1	63.5	4.88
Congo	0.8	5.0	5.7	4.7	41.6	64.1	6.04
Cote d'Ivoire	2.6	23.1	7.4	5.0	31.2	53.1	8.79
Democratic Republic of the Congo	12.2	76.2	6.0	6.2	38.3	59.2	6.25
Djibouti	0.1	0.9	6.3	2.9	40.4	62.3	14.96
Egypt	20.7	93.8	6.7	3.3	38.5	71.3	4.53
Equatorial Guinea	0.2	1.2	5.7	4.8	33.9	57.4	5.21
Eritrea	1.1	4.8	6.9	4.2	33.3	64.6	4.24
Ethiopia	18.1	99.9	7.3	4.3	33.3	65.0	5.51
Gabon	0.5	1.9	3.9	3.9	36.0	65.7	4.08
Gambia	0.3	2.0	5.2	5.5	29.7	61.0	7.29
Ghana	5.0	27.6	6.4	4.0	41.1	62.4	5.54
Guinea-Bissau	0.5	1.8	5.9	4.7	35.4	57.0	3.31
Guinea	3.1	12.1	6.0	4.9	32.5	59.4	3.91
Haiti	3.2	10.7	6.3	3.0	36.2	63.1	3.33
Iraq	5.7	36.1	8.1	4.4	34.9	69.7	6.31
Jordan	0.5	9.2	7.6	3.4	44.8	74.2	19.03
Kenya	6.1	47.2	7.4	3.9	41.6	66.7	7.77
Kiribati	0.0	0.1	5.8	3.7	46.0	66.1	3.40
Laos	1.7	6.7	5.9	2.8	40.3	66.3	3.96
Lesotho	0.7	2.2	5.8	3.1	41.0	53.7	2.96
Liberia	0.9	4.5	6.3	4.7	32.7	62.0	4.84
Madagascar	4.1	24.2	7.3	4.2	35.3	65.5	5.93
Malawi	3.0	17.6	6.8	4.6	36.0	62.7	5.95
Mali	4.7	17.5	7.0	6.1	26.4	57.5	3.71
Mauritania	0.7	4.2	6.1	4.7	37.4	63.1	6.33
Mayotte	0.0	0.2	7.9	3.9	44.7	79.9	15.85
Melanesia	2.2	9.9	6.3	3.6	39.2	66.5	4.59
Micronesia (Fed. States of)	0.0	0.1	6.2	2.9	52.8	73.3	3.26
Micronesia	0.2	0.5	7.3	3.2	53.8	69.1	3.35
Mozambique	6.2	28.0	7.0	5.3	30.3	57.7	4.55
Namibia	0.5	2.4	6.0	3.5	40.2	63.8	5.00
Pakistan	37.5	189.4	6.6	3.5	34.5	66.3	5.04
Palestine	0.9	4.7	7.6	4.1	46.2	73.3	5.00
Papua New Guinea	1.7	7.9	6.2	3.7	37.1	65.4	4.73
Philippines	18.6	101.7	7.4	3.0	54.7	69.0	5.47
Rwanda	2.2	11.6	7.9	4.0	39.4	66.7	5.32
Samoa	0.1	0.2	7.6	4.0	44.9	74.8	2.36
Sao Tome and Principe	0.1	0.2	6.2	4.5	45.5	66.5	3.26
Senegal	2.5	15.0	6.8	4.8	34.5	66.8	6.02
Sierra Leone	2.0	7.2	6.1	4.6	28.4	51.4	3.55
Solomon Islands	0.1	0.6	6.4	3.9	44.4	70.4	6.54
Somalia	2.3	13.9	7.2	6.4	33.2	55.9	6.14
South Sudan	2.6	11.9	6.6	4.9	26.7	56.3	4.60
Sudan	5.7	38.6	6.7	4.6	43.4	64.3	6.74
Swaziland	0.3	1.3	6.7	3.1	40.5	57.1	4.83
Tanzania	7.6	53.9	6.7	5.1	40.4	64.9	7.04
Togo	1.4	7.4	6.3	4.5	33.9	59.9	5.31
Tonga	0.0	0.1	7.3	3.7	57.9	72.9	2.25
Uganda	5.2	40.1	6.9	5.7	39.0	59.6	7.78
Vanuatu	0.0	0.3	7.7	3.3	40.7	71.9	5.55
Yemen	4.4	26.9	7.4	4.1	34.5	64.7	6.11
Zambia	2.3	16.1	6.6	5.0	41.2	61.4	6.97
TOTAL Group	270.6	1425.3	6.7	4.1	37.4	65.0	5.27
