#
# US coal production, reconstructed from historical data sets
#   http://www.iea.org/statistics/topics/coal/
# US oil and condensate production, reconstructed from historical data sets
#   http://www.iea.org/statistics/topics/oil/
# US gas production, reconstructed from historical data sets
#   https://www.iea.org/statistics/
# Cross-checked against BP World Energy report 2017
# 2017 data is the best estimate as of october 2017
# The "Tail from 1860 to 1800 is estimated as 5% per year growth
# Units in million tonn of oil equvalent per year, counting oil density at 0.827 g/cm (WTI)
#
Year,Coal,Oil,Gas,Total
1800,0.1,0.0,0.0,0.1
1801,0.2,0.0,0.0,0.2
1802,0.2,0.0,0.0,0.2
1803,0.2,0.0,0.0,0.2
1804,0.2,0.0,0.0,0.2
1805,0.2,0.0,0.0,0.2
1806,0.2,0.0,0.0,0.2
1807,0.2,0.0,0.0,0.2
1808,0.3,0.0,0.0,0.3
1809,0.3,0.0,0.0,0.3
1810,0.3,0.0,0.0,0.3
1811,0.3,0.0,0.0,0.3
1812,0.3,0.0,0.0,0.3
1813,0.4,0.0,0.0,0.4
1814,0.4,0.0,0.0,0.4
1815,0.4,0.0,0.0,0.4
1816,0.5,0.0,0.0,0.5
1817,0.5,0.0,0.0,0.5
1818,0.5,0.0,0.0,0.5
1819,0.6,0.0,0.0,0.6
1820,0.6,0.0,0.0,0.6
1821,0.7,0.0,0.1,0.7
1822,0.7,0.0,0.1,0.8
1823,0.8,0.0,0.1,0.8
1824,0.8,0.0,0.1,0.9
1825,0.9,0.0,0.1,1.0
1826,1.0,0.0,0.1,1.0
1827,1.0,0.0,0.1,1.1
1828,1.1,0.0,0.1,1.2
1829,1.2,0.0,0.1,1.3
1830,1.3,0.0,0.1,1.4
1831,1.4,0.0,0.1,1.5
1832,1.5,0.0,0.1,1.6
1833,1.6,0.0,0.1,1.7
1834,1.7,0.0,0.1,1.8
1835,1.8,0.0,0.1,2.0
1836,2.0,0.0,0.1,2.1
1837,2.1,0.0,0.1,2.3
1838,2.3,0.0,0.2,2.4
1839,2.5,0.0,0.2,2.6
1840,2.6,0.0,0.2,2.8
1841,2.8,0.0,0.2,3.0
1842,3.1,0.0,0.2,3.2
1843,3.3,0.0,0.2,3.5
1844,3.5,0.0,0.2,3.7
1845,3.8,0.0,0.2,4.0
1846,4.1,0.0,0.2,4.3
1847,4.4,0.0,0.2,4.6
