BWA	Ботсвана	-999	-999.00	-999.00	100.00%	2415.8	0.03%	581730	0.39%
BFA	Буркина-Фасо	-999	-999.00	-999.00	100.00%	20903.3	0.27%	274222	0.18%
BDI	Бурунди	-999	-999.00	-999.00	100.00%	11939.2	0.15%	27834	0.02%
GMB	Гамбия	-999	-999.00	-999.00	100.00%	2293.5	0.03%	11295	0.01%
GIN	Гвинея	-999	-999.00	-999.00	100.00%	13750.8	0.18%	245857	0.16%
GNB	Гвинея-Биссау	-999	-999.00	-999.00	100.00%	2000.7	0.03%	36125	0.02%
ZMB	Замбия	-999	-999.00	-999.00	100.00%	18679.3	0.24%	752612	0.50%
ESH	Западная Сахара	-999	-999.00	-999.00	100.00%	597.3	0.01%	266000	0.18%
ZWE	Зимбабве	-999	-999.00	-999.00	100.00%	17680.5	0.23%	390757	0.26%
KEN	Кения	-999	-999.00	-999.00	100.00%	53491.7	0.69%	580367	0.39%
LSO	Лесото	-999	-999.00	-999.00	100.00%	2322.2	0.03%	30355	0.02%
LBR	Либерия	-999	-999.00	-999.00	100.00%	5103.9	0.07%	111369	0.07%
MDG	Мадагаскар	-999	-999.00	-999.00	100.00%	27690.8	0.36%	587041	0.39%
MWI	Малави	-999	-999.00	-999.00	100.00%	20283.7	0.26%	118484	0.08%
MLI	Мали	-999	-999.00	-999.00	100.00%	20284.2	0.26%	1240192	0.82%
MOZ	Мозамбик	-999	-999.00	-999.00	100.00%	32309.2	0.42%	801590	0.53%
NAM	Намибия	-999	-999.00	-999.00	100.00%	2696.5	0.03%	825615	0.55%
RWA	Руанда	-999	-999.00	-999.00	100.00%	13087.2	0.17%	26338	0.02%
SWZ	Свазиленд	-999	-999.00	-999.00	100.00%	1439.3	0.02%	17364	0.01%
SEN	Сенегал	-999	-999.00	-999.00	100.00%	17200.2	0.22%	196722	0.13%
SOM	Сомалия	-999	-999.00	-999.00	100.00%	16105.2	0.21%	637657	0.42%
SLE	Сьерра-Леоне	-999	-999.00	-999.00	100.00%	8046.9	0.10%	71740	0.05%
TZA	Танзания	-999	-999.00	-999.00	100.00%	62774.6	0.81%	945087	0.63%
TGO	Того	-999	-999.00	-999.00	100.00%	8384.3	0.11%	56785	0.04%
UGA	Уганда	-999	-999.00	-999.00	100.00%	47187.7	0.61%	241550	0.16%
CAF	Центрально-Африканская Республика	-999	-999.00	-999.00	100.00%	4920.9	0.06%	622984	0.41%
ERI	Эритрея	-999	-999.00	-999.00	100.00%	5432.2	0.07%	117600	0.08%
ETH	Эфиопия	-999	-999.00	-999.00	100.00%	112759.1	1.45%	1104300	0.73%
BEN	Бенин	1985	0.39	-999.00	-256153.85%	12123.0	0.16%	114763	0.08%
MRT	Мавритания	2006	1.50	-999.00	-66600.00%	4783.8	0.06%	1030700	0.68%
LBY	Ливия	1970	159.54	17.75	11.13%	6662.2	0.09%	1759540	1.17%
MAR	Морокко	1980	0.05	0.00	5.00%	37070.7	0.48%	446550	0.30%
TUN	Тунис	1980	5.63	1.55	27.53%	11903.1	0.15%	163610	0.11%
CMR	Камерун	1985	9.00	3.39	37.62%	25958.2	0.33%	475442	0.32%
COD	Конго (Киншаса)	1985	1.60	1.17	73.00%	89505.2	1.15%	2344858	1.56%
EGY	Египет	1995	47.53	27.96	58.83%	102941.5	1.32%	1002450	0.67%
GAB	Габон	1996	18.25	10.36	56.77%	2151.3	0.03%	267668	0.18%
ZAF	ЮАР	2004	2.70	0.05	1.91%	58721.2	0.76%	1221037	0.81%
NGA	Нигерия	2005	9.11	6.65	73.00%	206152.7	2.65%	923768	0.61%
TCD	Чад	2005	8.50	5.88	69.19%	16285.1	0.21%	1284000	0.85%
DZA	Алжир	2006	75.91	49.08	64.66%	43333.3	0.56%	2381741	1.58%
CIV	Берег Слоновой Кости	2006	3.00	1.87	62.23%	26171.8	0.34%	322463	0.21%
SDN	Судан	2007	23.80	4.23	17.77%	43541.2	0.56%	1861484	1.24%
GNQ	Экваториальная Гвинея	2007	16.93	6.94	40.99%	1406.3	0.02%	28051	0.02%
AGO	Ангола	2008	91.50	62.82	68.66%	32827.4	0.42%	1246700	0.83%
BLZ	Белиз	2010	0.20	0.09	43.16%	398.0	0.01%	22966	0.02%
NER	Нигер	2012	1.00	0.48	48.23%	24074.7	0.31%	1267000	0.84%
COG	Конго (Браззавиль)	2019	16.97	15.51	91.40%	5686.9	0.07%	342000	0.23%
SSD	Южный Судан	2019	8.45	8.37	99.05%	13610.0	0.18%	644329	0.43%
GHA	Гана	2020	10.10	10.10	100.00%	30733.8	0.40%	238533	0.16%
	Всего Afrozone:	2008	505.80	402.06	79.49%	1347821.3	17.34%	30309225	20.14%
