#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
# All data in million as of 1-Jul each year
#
# data composed from:
# prior 1950: Wikipedia and other sources, interpolated
# 1950-2015: UNESCO/UN Population division: POP/DB/WPP/Rev.2017/POP/F01-1
# 2016-2017: extrapolation of the UN data using World Bank dataset
# http://databank.worldbank.org/data/home.aspx
#
# Horizontal conversion = 46,831,1900,2100,pixels
# Vertical conversion = 819,105,0,1,pixels
#
# Sigmoid( x0=2030.0, s0=0.03000, left=0.850, right=1.200, shift=0.000)
# Hubbert( x0=2040.0, s0=0.03600, s1=0.05400, peak=-0.440, shift=0.000)
# Hubbert( x0=1950.0, s0=0.07700, s1=0.06300, peak=-0.055, shift=0.000)
# Hubbert( x0=2065.0, s0=0.15860, s1=0.16799, peak=-0.083, shift=0.000)
# Hubbert( x0=2000.0, s0=0.17622, s1=0.24547, peak=0.017, shift=0.000)
#
Year,Birth_Rate
1900.000,0.847
1905.000,0.847
1910.000,0.822
1915.000,0.817
1920.000,0.817
1925.000,0.807
1930.000,0.800
1935.000,0.791
1940.000,0.779
1945.000,0.770
1950.000,0.766
1955.000,0.759
1960.000,0.749
1965.000,0.746
1970.000,0.741
1975.000,0.732
1980.000,0.718
1985.000,0.717
1990.000,0.711
1995.000,0.702
2000.000,0.688
2005.000,0.667
2010.000,0.640
2015.000,0.613
2020.000,0.598
2025.000,0.598
2030.000,0.597
2035.000,0.602
2040.000,0.612
2045.000,0.633
2050.000,0.653
2055.000,0.667
2060.000,0.695
2065.000,0.737
2070.000,0.801
2075.000,0.884
2080.000,0.952
2085.000,0.994
2090.000,1.052
2095.000,1.081
2100.000,1.098
