#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
# All data in million as of 1-Jul each year
#
# data composed from:
# prior 1950: Wikipedia and other sources, interpolated
# 1950-2015: UNESCO/UN Population division: POP/DB/WPP/Rev.2017/POP/F01-1
# 2016-2017: extrapolation of the UN data using World Bank dataset
# http://databank.worldbank.org/data/home.aspx
#
# Horizontal conversion = 46,831,1900,2100,pixels
# Vertical conversion = 819,105,0,1,pixels
#
# Sigmoid( x0=2015.000, s0=0.05504, left=0.083, right=0.032, shift=0.000)
# Hubbert( x0=2016.000, s0=0.07358, s1=0.09509, peak=0.600, shift=0.000)
# Hubbert( x0=1971.000, s0=0.05663, s1=0.10172, peak=0.144, shift=0.000)
# Hubbert( x0=1989.000, s0=0.14234, s1=0.18082, peak=0.034, shift=0.000)
# Hubbert( x0=2045.000, s0=0.22315, s1=0.17365, peak=0.035, shift=0.000)
# Hubbert( x0=2076.000, s0=0.14173, s1=0.16877, peak=0.028, shift=0.000)
#
Year,Services_PC
1900.000,0.083
1905.000,0.084
1910.000,0.102
1915.000,0.102
1920.000,0.112
1925.000,0.126
1930.000,0.141
1935.000,0.160
1940.000,0.174
1945.000,0.188
1950.000,0.202
1955.000,0.224
1960.000,0.245
1965.000,0.287
1970.000,0.305
1975.000,0.326
1980.000,0.370
1985.000,0.402
1990.000,0.429
1995.000,0.497
2000.000,0.538
2005.000,0.599
2010.000,0.641
2015.000,0.665
2020.000,0.637
2025.000,0.543
2030.000,0.419
2035.000,0.339
2040.000,0.277
2045.000,0.214
2050.000,0.155
2055.000,0.112
2060.000,0.099
2065.000,0.083
2070.000,0.076
2075.000,0.070
2080.000,0.070
2085.000,0.052
2090.000,0.053
2095.000,0.034
2100.000,0.032
