#
# Age structure (the UN via OurWorldInData)
# https://ourworldindata.org/age-structure
#
Year	0_14	15_64	65_over
1950	868.845	1538.615	128.815
1951	893.532	1558.536	131.749
1952	917.440	1578.810	134.335
1953	940.334	1600.338	136.559
1954	962.514	1623.370	138.418
1955	984.764	1647.555	139.923
1956	1013.648	1664.964	142.772
1957	1041.084	1685.554	145.314
1958	1068.402	1708.130	147.550
1959	1096.298	1732.020	149.507
1960	1124.687	1757.281	151.244
1961	1152.010	1783.009	155.286
1962	1181.359	1808.948	158.937
1963	1211.140	1836.787	162.345
1964	1239.203	1868.779	165.689
1965	1264.782	1905.760	169.051
1966	1294.146	1939.496	174.480
1967	1319.727	1979.327	179.999
1968	1342.837	2023.482	185.562
1969	1365.554	2069.283	191.069
1970	1388.758	2115.331	196.489
1971	1413.943	2158.814	203.034
1972	1438.625	2203.572	209.348
1973	1462.389	2249.635	215.515
1974	1484.002	2297.784	221.661
1975	1502.683	2348.556	227.848
1976	1521.364	2397.590	235.334
1977	1536.826	2449.535	242.840
1978	1549.827	2504.399	250.151
1979	1561.790	2561.931	256.865
1980	1573.801	2621.831	262.780
1981	1586.883	2682.018	268.944
1982	1601.063	2743.611	274.102
1983	1616.044	2806.700	278.787
1984	1631.376	2871.391	283.718
1985	1647.099	2937.374	289.309
1986	1669.341	2997.833	296.460
1987	1691.198	3060.421	304.017
1988	1712.654	3123.986	311.916
1989	1733.208	3187.479	320.047
1990	1752.028	3250.538	328.377
1991	1774.715	3306.305	337.739
1992	1792.421	3364.648	347.332
1993	1806.493	3424.653	356.948
1994	1818.690	3485.354	366.276
1995	1829.682	3546.592	375.201
1996	1835.182	3610.725	385.658
1997	1842.042	3673.284	395.240
1998	1848.197	3736.265	404.383
1999	1850.865	3802.331	413.672
2000	1849.247	3872.355	423.405
2001	1849.415	3939.386	434.612
2002	1845.834	4010.280	446.035
2003	1840.117	4083.893	457.399
2004	1835.222	4157.982	468.167
2005	1832.918	4231.101	478.140
2006	1835.848	4299.048	488.952
2007	1840.369	4366.949	499.100
2008	1846.840	4433.801	509.130
2009	1854.970	4498.965	519.806
2010	1864.424	4562.095	531.650
2011	1876.581	4620.934	545.494
2012	1889.717	4678.407	560.053
2013	1903.518	4734.223	575.685
2014	1917.318	4788.275	592.861
2015	1930.532	4840.579	611.897
