#
# Urban population estimates (from the UN via OurWorldInData)
# https://ourworldindata.org/urbanization
#
Year	Population	Urban	Ratio
1900	1650.4	270.6	0.164
1950	2536.3	750.9	0.296
1951	2583.8	775.1	0.300
1952	2630.6	799.3	0.304
1953	2677.2	824.3	0.308
1954	2724.3	850.2	0.312
1955	2772.2	877.0	0.316
1956	2821.4	904.7	0.321
1957	2872.0	933.1	0.325
1958	2924.1	962.5	0.329
1959	2977.8	992.8	0.333
1960	3033.2	1023.8	0.338
1961	3090.3	1055.4	0.342
1962	3149.2	1088.4	0.346
1963	3210.3	1122.6	0.350
1964	3273.7	1157.8	0.354
1965	3339.6	1188.5	0.356
1966	3408.1	1220.0	0.358
1967	3479.1	1252.6	0.360
1968	3551.9	1285.9	0.362
1969	3625.9	1319.8	0.364
1970	3700.6	1354.2	0.366
1971	3775.8	1388.8	0.368
1972	3851.5	1424.7	0.370
1973	3927.5	1462.2	0.372
1974	4003.4	1501.1	0.375
1975	4079.1	1538.6	0.377
1976	4154.3	1577.4	0.380
1977	4229.2	1616.4	0.382
1978	4304.4	1659.3	0.385
1979	4380.6	1706.0	0.389
1980	4458.4	1754.2	0.393
1981	4537.8	1804.2	0.398
1982	4618.8	1854.1	0.401
1983	4701.5	1903.8	0.405
1984	4786.5	1955.1	0.408
1985	4873.8	2007.9	0.412
1986	4963.6	2062.6	0.416
1987	5055.6	2118.9	0.419
1988	5148.6	2176.1	0.423
1989	5240.7	2233.1	0.426
1990	5330.9	2290.2	0.430
1991	5418.8	2347.5	0.433
1992	5504.4	2404.3	0.437
1993	5588.1	2461.2	0.440
1994	5670.3	2518.3	0.444
1995	5751.5	2575.5	0.448
1996	5831.6	2632.9	0.451
1997	5910.6	2690.8	0.455
1998	5988.8	2749.2	0.459
1999	6066.9	2808.2	0.463
2000	6145.0	2868.3	0.467
2001	6223.4	2933.1	0.471
2002	6302.2	3001.8	0.476
2003	6381.4	3071.7	0.481
2004	6461.4	3143.0	0.486
2005	6542.2	3215.9	0.492
2006	6623.8	3289.4	0.497
2007	6706.4	3363.6	0.502
2008	6789.8	3439.7	0.507
2009	6873.7	3516.8	0.512
2010	6958.2	3594.9	0.517
2011	7043.0	3671.4	0.521
2012	7128.2	3747.8	0.526
2013	7213.4	3825.0	0.530
2014	7298.5	3902.8	0.535
2015	7383.0	3981.5	0.539
2016	7467.0	4060.7	0.544
2017	7550.3	4140.2	0.548
2018	7632.8	4219.8	0.553
2019	7714.6	4299.4	0.557
