Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
Austria	6.9	8.7	1.9	1.5	66.0	81.4	1.25
Belarus	7.7	9.5	2.5	1.7	57.7	72.7	1.22
Belgium	8.6	11.3	2.3	1.8	67.0	81.0	1.31
Bulgaria	7.3	7.2	2.7	1.5	60.4	74.6	0.99
Channel Islands	0.1	0.2	2.1	1.5	68.5	81.0	1.60
Croatia	3.9	4.2	2.9	1.5	60.3	77.5	1.10
Czechia	8.9	10.6	2.9	1.5	65.3	78.6	1.19
Denmark	4.3	5.7	2.6	1.7	70.5	80.6	1.33
Estonia	1.1	1.3	2.1	1.6	59.1	77.4	1.19
France	41.9	64.5	2.8	2.0	66.1	82.4	1.54
Georgia	3.5	4.0	2.7	2.0	59.8	73.1	1.12
Germany	70.0	81.7	2.1	1.4	66.9	80.8	1.17
Greece	7.7	11.2	2.5	1.3	65.4	81.0	1.46
Hungary	9.3	9.8	2.8	1.4	62.6	75.8	1.05
Italy	46.6	59.5	2.5	1.5	65.6	82.8	1.28
Latvia	1.9	2.0	2.0	1.5	59.7	74.4	1.03
Lithuania	2.6	2.9	2.9	1.6	57.6	74.5	1.14
Luxembourg	0.3	0.6	1.9	1.6	65.4	81.6	1.91
Russia	102.8	143.9	2.8	1.7	55.2	70.9	1.40
Spain	28.1	46.4	2.4	1.4	63.1	83.0	1.65
Sweden	7.0	9.8	2.3	1.9	71.3	82.3	1.39
Switzerland	4.7	8.3	2.3	1.5	68.7	83.1	1.78
Ukraine	37.3	44.7	2.7	1.5	59.1	71.8	1.20
United Kingdom	50.6	65.4	2.1	1.9	68.7	81.4	1.29
TOTAL Group	463.0	613.2	2.5	1.6	62.9	78.0	1.32
