Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
Algeria	8.9	39.9	7.3	2.8	42.1	75.9	4.49
Bahrain	0.1	1.4	7.0	2.1	41.2	76.8	11.87
Belize	0.1	0.4	6.7	2.5	54.8	70.2	5.21
Bolivia	3.1	10.7	6.9	2.9	39.5	68.8	3.47
Botswana	0.4	2.2	6.5	2.8	46.8	65.8	5.36
Cabo Verde	0.2	0.5	6.5	2.4	47.7	72.6	2.99
Cambodia	4.4	15.5	7.0	2.6	39.9	68.6	3.50
Colombia	12.3	48.2	6.8	1.9	48.4	74.2	3.91
Dominican Republic	2.4	10.5	7.5	2.5	44.3	73.7	4.45
Ecuador	3.5	16.1	6.7	2.5	47.6	76.1	4.65
El Salvador	2.2	6.3	6.2	2.1	42.6	73.3	2.87
Fiji	0.3	0.9	6.3	2.5	51.1	70.1	3.09
French Polynesia	0.1	0.3	6.0	2.0	45.6	76.6	4.61
Guatemala	3.1	16.3	7.1	3.0	41.9	73.2	5.22
Honduras	1.5	9.0	7.5	2.5	40.8	73.4	5.79
India	376.3	1309.1	5.9	2.4	35.4	68.3	3.48
Indonesia	69.5	258.2	5.3	2.4	42.0	69.0	3.71
Iran	17.1	79.4	6.9	1.7	39.4	75.7	4.64
Libya	1.1	6.2	7.1	2.3	37.3	71.8	5.54
Maldives	0.1	0.4	5.6	2.1	34.2	77.0	5.68
Mauritius	0.5	1.3	6.0	1.4	48.1	74.6	2.55
Mexico	28.0	125.9	6.7	2.2	48.6	76.9	4.49
Morocco	9.0	34.8	6.5	2.5	45.0	75.6	3.87
Myanmar	17.2	52.4	6.0	2.2	33.3	66.5	3.06
Nepal	8.5	28.7	6.0	2.2	34.0	69.9	3.38
New Caledonia	0.1	0.3	5.2	2.2	49.1	76.8	4.15
Nicaragua	1.3	6.1	6.9	2.2	41.0	75.1	4.70
Oman	0.5	4.2	7.2	2.7	34.2	76.8	9.20
Panama	0.9	4.0	5.7	2.5	55.7	77.8	4.62
Paraguay	1.5	6.6	6.5	2.5	62.7	73.0	4.51
Peru	7.7	31.4	7.0	2.4	43.1	74.7	4.06
Polynesia	0.2	0.7	6.7	2.9	48.6	75.1	2.80
Reunion	0.2	0.9	7.2	2.3	45.3	80.1	3.48
Saint Vincent and the Grenadines	0.1	0.1	7.3	2.0	50.0	73.1	1.63
Saudi Arabia	3.1	31.6	7.2	2.6	41.0	74.4	10.11
South Africa	13.6	55.3	6.0	2.5	47.2	62.0	4.06
Suriname	0.2	0.6	6.6	2.4	54.7	71.3	2.57
Thailand	20.7	68.7	6.1	1.5	49.9	75.1	3.32
Tunisia	3.6	11.3	6.6	2.2	38.3	75.5	3.13
Turkey	21.4	78.3	6.7	2.1	40.2	75.5	3.66
United Arab Emirates	0.1	9.2	6.9	1.8	41.4	77.1	131.55
Western Sahara	0.0	0.5	6.3	2.5	34.8	69.2	38.23
TOTAL Group	645.1	2383.9	6.1	2.3	38.6	70.2	3.70
