#
# US tight oil production from https://www.eia.gov/tools/faqs/faq.php?id=847&t=6
# 0.000 in production means data publication of data discontinued and reported via "rest of US".
#
Year	Monterey	Austin_Chalk	Granite_Wash	Woodford	Marcellus	Haynesville	Niobrara_Codell	Wolfcamp	Bonespring	Spraberry	Bakken	EagleFord	Yeso_Glorieta	Delaware	Utica	Rest_of_US	Total
2000	22.376	23.188	2.257	0.116	0.000	1.041	5.484	14.507	3.420	27.685	6.951	0.002	12.545	11.131	0.009	0.000	130.712
2001	23.131	20.050	2.204	0.121	0.000	1.028	6.225	13.415	3.465	27.742	6.139	0.002	13.075	11.075	0.001	0.000	127.673
2002	24.143	16.890	2.067	0.131	0.000	0.827	7.111	13.614	3.045	26.242	6.053	0.002	12.561	10.533	0.001	0.000	123.220
2003	22.746	15.491	2.345	0.072	0.001	0.633	7.993	13.274	3.176	26.290	7.296	0.001	11.616	10.792	0.002	0.000	121.728
2004	22.473	14.762	3.084	0.093	0.001	0.639	9.443	11.823	3.550	26.798	11.501	0.002	11.069	11.177	0.002	0.000	126.417
2005	21.522	14.751	4.080	0.165	1.738	0.618	10.321	11.581	3.342	28.859	19.398	0.002	10.310	11.479	0.003	0.000	138.169
2006	20.633	15.012	5.762	0.146	1.707	0.658	11.648	11.695	3.564	29.961	22.951	0.014	10.147	11.401	0.001	0.000	145.300
2007	20.007	14.881	7.117	0.288	2.012	0.610	13.116	12.610	4.305	33.990	27.090	0.022	10.487	12.014	0.001	0.000	158.550
2008	18.247	15.456	9.573	0.849	2.221	0.758	16.313	13.237	4.891	42.059	44.173	0.202	11.589	12.573	0.001	0.000	192.142
2009	16.877	13.310	11.097	1.269	1.852	0.649	17.147	13.666	5.612	48.110	64.289	1.031	13.204	12.218	0.001	0.000	220.332
2010	16.202	13.175	15.061	1.988	2.523	0.512	19.177	14.849	8.025	60.314	98.904	12.264	15.533	12.759	0.002	0.000	291.288
2011	16.934	13.764	23.298	3.357	3.279	0.495	25.544	21.005	15.464	81.307	141.576	76.659	17.791	13.791	0.047	0.000	454.311
2012	17.197	13.162	33.858	6.494	4.436	0.627	36.081	31.037	32.321	106.965	234.825	206.537	20.008	16.688	0.611	0.000	760.847
2013	16.978	12.422	37.458	11.510	9.741	0.576	53.352	45.028	53.369	127.839	309.841	354.966	21.023	18.858	3.672	0.000	1076.633
2014	15.820	12.264	35.313	18.179	11.911	0.684	84.496	75.302	82.772	164.646	393.827	500.119	21.416	18.953	10.917	0.000	1446.619
2015	14.404	15.313	29.578	25.710	13.388	0.604	114.025	106.019	111.054	205.565	429.543	546.685	20.535	19.734	23.204	68.022	1743.383
2016	12.524	15.935	20.738	27.685	11.788	0.487	107.713	138.099	108.031	251.365	373.772	428.882	19.884	15.243	18.319	66.036	1616.501
2017	11.496	25.611	17.750	28.173	14.354	0.494	123.657	215.340	122.077	334.610	386.469	399.236	18.526	13.815	17.244	82.935	1811.787
2018	0.000	36.487	0.000	36.559	0.000	0.000	168.627	370.538	180.952	471.908	457.764	430.619	0.000	0.000	0.000	220.302	2373.756
2019	0.000	44.827	0.000	42.194	0.000	0.000	188.681	471.699	215.428	532.488	499.084	443.688	0.000	0.000	0.000	236.714	2674.803
