#
# Gas production in Others
# billion ft3 per day
#
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual
2000,0.475,1.899,1.899,1.899,1.899
2001,0.475,1.899,1.899,1.899,1.899
2002,0.475,1.899,1.899,1.899,1.899
2003,0.475,1.899,1.899,1.899,1.899
2004,0.475,1.899,1.899,1.899,1.899
2005,0.475,1.899,1.899,1.899,1.899
2006,0.475,1.946,1.946,1.946,1.946
2007,0.475,2.184,2.184,2.184,2.184
2008,0.427,2.231,2.231,2.231,2.231
2009,0.427,2.184,2.184,2.184,2.184
2010,0.427,2.136,4.082,4.082,4.082
2011,0.427,2.421,3.560,3.56,3.560
2012,0.38,3.085,2.848,2.848,2.848
2013,0.38,3.750,1.804,1.804,1.804
2014,0.38,5.649,1.614,1.614,1.614
2015,0.38,6.028,3.370,3.370,8.257
2016,0.38,6.361,3.370,3.370,8.901
2017,0.38,6.835,3.845,3.370,10.504
2018,0.38,7.215,4.225,3.370,13.946
2019,0.38,7.595,4.889,3.370,-999.25
2020,0.38,8.070,5.459,3.370,-999.25
2021,0.38,8.449,5.791,3.370,-999.25
2022,0.38,8.877,6.028,3.370,-999.25
2023,1.329,9.209,6.218,3.370,-999.25
2024,2.136,9.541,6.408,3.370,-999.25
2025,2.896,9.731,6.598,3.370,-999.25
2026,3.797,9.826,6.835,3.370,-999.25
2027,4.747,10.111,7.215,3.370,-999.25
2028,5.506,10.253,7.500,3.370,-999.25
2029,6.123,10.538,7.880,3.370,-999.25
2030,6.835,10.728,8.259,3.370,-999.25
2031,7.595,10.680,8.592,3.370,-999.25
2032,8.212,10.633,9.019,3.370,-999.25
2033,8.924,10.728,9.304,3.370,-999.25
2034,9.921,10.680,9.636,3.370,-999.25
2035,10.823,10.775,10.063,3.370,-999.25
2036,11.677,10.965,10.348,3.370,-999.25
2037,12.247,11.108,10.633,3.370,-999.25
2038,12.532,10.965,10.775,3.370,-999.25
2039,12.627,10.965,11.013,3.370,-999.25
2040,12.722,11.203,11.203,3.370,-999.25
