Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	119.3	11.3	1.2	131.8	117.5	15.2	1.2	131.8	0.0	750.9	175	175	0
1966	127.4	14.6	1.4	143.3	125.5	19.0	1.4	143.3	0.0	769.8	186	186	0
1967	113.6	13.9	1.6	129.0	111.9	19.7	1.6	130.8	1.8	790.6	163	165	2
1968	112.8	16.0	1.6	130.4	111.1	21.9	1.6	132.0	1.7	812.6	160	162	2
1969	135.2	21.7	2.2	159.2	133.2	28.4	2.2	160.9	1.6	834.9	191	193	2
1970	171.2	30.7	2.5	204.3	168.7	37.3	3.0	204.8	0.4	856.9	238	239	1
1971	196.7	39.4	3.2	239.3	193.8	49.9	4.2	242.8	3.5	878.3	272	276	4
1972	207.7	45.7	4.2	257.6	204.6	56.9	5.3	262.3	4.7	899.1	286	292	5
1973	210.1	53.6	5.2	268.9	207.0	68.9	6.5	276.8	7.8	919.3	293	301	9
1974	208.0	64.9	6.5	279.4	204.9	76.0	7.9	281.7	2.4	938.4	298	300	3
1975	233.9	77.1	7.7	318.7	230.5	83.5	9.0	318.4	-0.3	956.5	333	333	0
1976	239.7	87.2	8.8	335.6	236.2	97.2	10.5	337.2	1.5	973.3	345	346	2
1977	263.8	93.6	10.5	367.9	259.9	103.5	12.3	368.2	0.3	989.0	372	372	0
1978	289.7	104.1	11.9	405.6	285.4	115.2	13.7	408.3	2.7	1003.9	404	407	3
1979	300.3	106.2	12.6	419.0	295.8	115.2	14.3	416.4	-2.6	1018.5	411	409	-3
1980	312.7	106.0	12.4	431.1	308.1	111.6	14.1	425.5	-5.6	1033.3	417	412	-5
1981	312.4	101.2	11.0	424.6	306.2	105.3	12.5	418.2	-6.5	1048.3	405	399	-6
1982	335.0	102.1	10.3	447.4	325.2	103.5	11.6	427.7	-19.7	1063.3	421	402	-19
1983	359.1	106.1	10.6	475.7	350.6	104.7	11.8	465.6	-10.1	1079.0	441	432	-9
1984	396.6	114.6	10.8	522.0	382.1	106.8	12.0	499.4	-22.6	1095.8	476	456	-21
1985	438.6	124.9	11.2	574.7	417.4	113.8	12.3	540.4	-34.3	1114.3	516	485	-31
1986	449.6	130.7	11.9	592.2	437.9	121.2	12.9	561.4	-30.8	1134.5	522	495	-27
1987	466.9	134.1	12.0	613.1	475.7	127.9	13.0	616.8	3.7	1156.3	530	533	3
1988	493.1	137.1	12.4	642.6	512.2	139.3	13.5	666.6	24.0	1178.6	545	566	20
1989	530.1	137.6	13.0	680.8	536.8	147.6	14.2	696.8	16.1	1200.1	567	581	13
1990	542.6	138.3	13.3	694.2	543.6	147.8	15.1	698.8	4.6	1219.8	569	573	4
1991	546.9	141.0	13.4	701.3	570.7	157.8	16.1	746.3	45.0	1237.4	567	603	36
1992	561.0	142.0	13.7	716.7	598.5	170.9	16.3	787.1	70.4	1253.0	572	628	56
1993	577.8	144.0	14.5	736.4	638.7	186.8	17.3	866.1	129.7	1267.0	581	684	102
1994	622.2	146.1	15.2	783.5	677.8	191.5	18.6	901.1	117.6	1279.6	612	704	92
1995	682.5	149.0	15.6	847.1	686.9	207.0	19.1	909.7	62.6	1291.4	656	704	48
1996	700.1	158.5	17.4	876.1	718.4	222.4	21.6	964.6	88.5	1302.2	673	741	68
1997	695.5	160.1	19.7	875.3	706.3	240.2	24.1	964.2	88.9	1312.0	667	735	68
1998	667.8	160.2	20.2	848.1	703.8	246.1	25.3	971.5	123.4	1321.1	642	735	93
1999	683.7	160.2	21.8	865.8	727.6	262.0	26.7	1027.9	162.1	1329.8	651	773	122
2000	709.1	162.6	23.6	895.3	737.9	278.6	29.5	1063.3	168.0	1338.3	669	795	126
2001	751.2	164.8	26.3	942.3	778.3	286.4	32.5	1098.3	156.0	1346.7	700	816	116
2002	802.2	166.9	28.3	997.4	850.8	306.5	34.6	1221.9	224.5	1355.0	736	902	166
2003	947.3	169.6	30.3	1147.2	1010.3	336.9	38.1	1427.2	279.9	1363.3	842	1047	205
2004	1109.3	174.1	35.9	1319.3	1172.2	387.8	45.3	1630.3	310.9	1371.6	962	1189	227
2005	1245.4	181.4	42.7	1469.4	1366.8	391.3	51.4	1854.0	384.6	1379.7	1065	1344	279
2006	1332.5	184.8	50.7	1568.0	1498.6	416.3	61.6	2028.5	460.5	1387.8	1130	1462	332
2007	1444.1	186.3	60.0	1690.4	1630.4	437.0	73.4	2225.9	535.5	1395.8	1211	1595	384
2008	1497.0	190.4	69.6	1757.0	1653.2	437.5	84.0	2222.2	465.2	1403.9	1252	1583	331
2009	1546.0	189.5	73.9	1809.4	1728.2	456.3	90.8	2303.2	493.8	1412.0	1281	1631	350
2010	1680.4	203.0	83.0	1966.5	1792.8	513.9	110.0	2435.3	468.9	1420.2	1385	1715	330
2011	1871.6	202.9	91.3	2165.7	1950.2	526.4	133.3	2582.4	416.7	1428.4	1516	1808	292
2012	1891.4	207.5	95.9	2194.7	1973.0	547.6	147.4	2619.1	424.3	1436.6	1528	1823	295
2013	1912.6	210.0	104.7	2227.3	2015.5	570.0	165.3	2708.8	481.5	1444.7	1542	1875	333
2014	1879.5	211.4	112.8	2203.7	2001.7	591.1	180.2	2725.3	521.6	1452.6	1517	1876	359
2015	1839.8	214.6	116.7	2171.1	1958.5	625.4	187.4	2721.0	549.9	1460.0	1487	1864	377
2016	1713.0	199.7	118.6	2031.3	1934.4	639.6	200.8	2809.1	777.8	1467.0	1385	1915	530
2017	1777.0	191.5	128.3	2096.7	1936.1	667.1	229.4	2827.1	730.4	1473.5	1423	1919	496
2018	1863.2	189.1	138.9	2191.2	1952.3	697.8	266.3	2851.5	660.3	1479.5	1481	1927	446
