Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	29.3	106.2	0.8	136.3	28.9	27.5	0.8	56.1	-80.3	322.5	423	174	-249
1966	28.9	135.2	0.9	165.0	28.5	30.2	0.9	58.1	-106.9	330.7	499	176	-323
1967	29.8	148.7	0.9	179.4	29.3	29.9	0.9	58.6	-120.8	339.2	529	173	-356
1968	31.0	190.6	0.9	222.5	30.6	31.5	0.9	61.2	-161.3	348.1	639	176	-463
1969	31.2	242.3	1.1	274.6	30.7	31.9	1.1	62.2	-212.4	357.1	769	174	-595
1970	32.1	292.3	2.6	327.0	31.6	35.3	1.3	66.2	-260.9	366.5	892	181	-712
1971	33.9	273.5	3.2	310.6	33.4	39.9	1.6	72.6	-238.0	376.1	826	193	-633
1972	34.2	274.6	5.6	314.5	33.7	43.2	2.1	77.4	-237.1	386.0	815	201	-614
1973	36.2	287.8	8.5	332.4	35.7	46.4	3.4	83.2	-249.2	396.2	839	210	-629
1974	37.7	265.3	8.8	311.8	37.2	48.0	3.8	85.9	-226.0	406.8	767	211	-555
1975	40.1	243.4	9.9	293.4	39.5	50.2	4.6	92.9	-200.5	417.9	702	222	-480
1976	42.1	290.4	11.8	344.2	41.4	55.7	5.2	99.9	-244.3	429.4	802	233	-569
1977	43.0	304.5	12.0	359.5	42.4	58.9	5.9	104.5	-255.0	441.4	815	237	-578
1978	41.7	297.2	16.1	355.0	41.1	61.9	8.4	109.9	-245.1	453.8	782	242	-540
1979	44.0	326.8	24.4	395.2	43.4	66.1	12.8	119.0	-276.1	466.7	847	255	-592
1980	47.5	300.3	21.4	369.1	46.8	69.9	16.1	129.7	-239.5	480.0	769	270	-499
1981	78.2	238.4	22.8	339.4	54.7	74.4	19.6	146.9	-192.6	493.7	687	297	-390
1982	85.9	229.2	28.0	343.1	60.4	78.0	21.2	156.8	-186.2	507.9	675	309	-367
1983	87.0	232.4	37.6	356.9	61.1	80.7	23.3	164.8	-192.1	522.5	683	316	-368
1984	97.0	248.1	39.4	384.6	65.6	82.4	22.3	170.2	-214.4	537.5	716	317	-399
1985	103.1	258.0	43.5	404.6	67.7	84.2	24.0	176.1	-228.5	552.8	732	319	-413
1986	105.7	257.2	45.6	408.5	69.2	82.9	26.9	176.5	-232.0	568.5	719	310	-408
1987	105.8	257.8	49.8	413.4	71.2	87.1	27.8	186.4	-227.0	584.6	707	319	-388
1988	108.8	268.7	53.1	430.6	76.5	91.1	30.8	198.3	-232.2	601.0	716	330	-386
1989	105.6	296.6	58.2	460.4	71.9	94.4	31.9	198.2	-262.2	617.6	745	321	-425
1990	105.0	317.8	62.0	484.9	75.5	95.7	34.3	204.1	-280.8	634.6	764	322	-443
1991	107.0	329.7	66.5	503.3	73.4	96.4	34.5	204.8	-298.5	651.8	772	314	-458
