Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	5.9	226.3	12.9	245.1	5.8	81.4	12.8	97.5	-147.6	208.7	1174	467	-707
1966	5.9	223.9	13.8	243.6	5.8	85.9	13.6	102.1	-141.5	214.1	1138	477	-661
1967	6.3	238.3	14.9	259.4	6.2	88.5	14.7	105.9	-153.5	219.5	1182	483	-699
1968	6.0	244.7	15.6	266.3	5.9	94.8	15.4	112.0	-154.3	225.0	1184	498	-686
1969	6.5	245.1	16.1	267.8	6.5	99.1	15.9	117.9	-149.9	230.5	1162	512	-650
1970	7.3	251.8	16.1	275.1	7.2	103.0	16.2	121.4	-153.7	236.0	1166	514	-651
1971	6.7	245.9	16.5	269.1	6.6	116.6	16.5	134.3	-134.8	241.5	1114	556	-558
1972	6.6	234.3	17.4	258.3	6.5	125.5	17.4	146.1	-112.2	247.1	1045	591	-454
1973	6.9	249.3	19.9	276.1	6.8	137.2	19.8	158.4	-117.7	252.8	1092	627	-466
1974	7.5	227.1	21.1	255.7	7.4	141.3	20.9	161.9	-93.8	258.5	989	626	-363
1975	7.9	191.8	21.0	220.7	7.8	140.6	20.8	166.9	-53.8	264.3	835	632	-203
1976	8.0	190.4	23.6	221.9	7.8	147.4	24.3	174.7	-47.2	270.2	821	647	-175
1977	9.1	188.7	25.5	223.3	9.0	153.6	26.3	183.4	-40.0	276.2	809	664	-145
1978	9.7	189.1	27.0	225.8	9.6	161.0	27.0	195.2	-30.6	282.3	800	691	-108
1979	10.3	202.5	28.0	240.8	10.1	169.0	29.1	201.5	-39.3	288.5	835	698	-136
1980	10.9	194.7	30.3	236.0	10.8	172.9	31.0	208.6	-27.3	294.8	800	708	-93
1981	6.8	192.9	31.3	231.0	10.6	170.5	32.0	210.6	-20.4	301.2	767	699	-68
1982	7.3	184.8	34.4	226.5	10.7	166.9	35.5	211.7	-14.8	307.8	736	688	-48
1983	7.9	183.2	37.5	228.6	11.9	163.0	36.8	211.9	-16.7	314.4	727	674	-53
1984	9.6	193.2	39.9	242.7	13.6	162.4	39.8	216.1	-26.6	321.0	756	673	-83
1985	11.3	192.6	40.8	244.7	15.8	161.3	40.5	219.3	-25.4	327.6	747	670	-78
1986	12.5	206.5	44.2	263.1	16.0	172.8	43.8	230.4	-32.8	334.2	787	689	-98
1987	15.1	203.6	44.2	262.9	17.6	176.8	44.0	239.6	-23.3	340.8	771	703	-68
1988	16.9	214.0	47.8	278.8	17.4	179.8	47.7	244.7	-34.1	347.4	803	704	-98
1989	19.9	216.4	49.8	286.2	18.8	180.4	49.5	249.4	-36.7	353.9	809	705	-104
1990	19.4	234.0	51.8	305.2	15.8	178.4	51.2	244.8	-60.4	360.5	847	679	-168
1991	19.6	246.7	53.7	320.0	16.7	179.7	52.0	249.2	-70.8	367.0	872	679	-193
1992	20.4	252.2	53.8	326.4	17.6	190.9	53.5	263.1	-63.2	373.5	874	705	-169
1993	21.1	261.9	57.2	340.2	17.8	193.2	57.6	269.5	-70.8	379.9	896	709	-186
1994	22.3	277.7	61.2	361.1	18.9	204.6	60.5	285.7	-75.4	386.3	935	740	-195
1995	24.2	300.1	67.0	391.3	19.2	211.3	66.6	299.3	-92.0	392.7	996	762	-234
1996	26.5	320.8	74.0	421.3	19.7	216.0	73.7	311.2	-110.1	399.1	1056	780	-276
1997	29.8	334.4	75.2	439.3	21.1	228.3	75.2	326.8	-112.6	405.4	1084	806	-278
1998	30.4	353.9	79.5	463.8	20.8	237.5	80.6	335.9	-127.9	411.7	1127	816	-311
1999	30.2	342.6	81.4	454.2	20.6	236.0	79.6	342.9	-111.4	417.9	1087	821	-266
2000	35.3	344.8	87.5	467.6	21.0	236.7	84.0	341.4	-126.3	424.0	1103	805	-298
2001	38.7	349.1	91.3	479.2	19.8	240.3	88.4	349.2	-130.0	430.0	1114	812	-302
2002	35.6	346.0	93.9	475.5	19.5	239.9	89.2	355.2	-120.3	435.9	1091	815	-276
2003	41.9	343.2	102.9	487.9	21.1	233.7	93.0	348.8	-139.1	441.7	1105	790	-315
2004	45.5	367.5	116.1	529.1	22.4	243.6	103.9	368.5	-160.6	447.4	1183	824	-359
2005	49.3	374.7	119.8	543.9	21.1	251.4	107.9	380.7	-163.2	453.1	1200	840	-360
2006	53.5	381.9	130.5	566.0	24.4	259.3	115.2	399.5	-166.5	458.6	1234	871	-363
2007	55.7	374.5	135.2	565.4	26.0	271.6	118.6	423.7	-141.7	464.1	1218	913	-305
2008	57.4	380.5	135.8	573.7	27.7	287.0	118.7	435.0	-138.7	469.5	1222	927	-296
2009	55.4	377.6	131.0	564.0	23.3	284.5	114.2	426.9	-137.1	474.8	1188	899	-289
2010	55.7	378.7	137.9	572.3	28.3	299.6	123.5	460.0	-112.3	480.1	1192	958	-234
2011	63.7	381.7	141.1	586.4	30.2	310.1	127.8	475.9	-110.5	485.5	1208	980	-228
2012	65.6	378.6	146.7	590.8	31.7	315.8	135.6	486.6	-104.2	490.8	1204	991	-212
2013	64.7	379.2	149.4	593.2	34.6	326.8	140.6	509.4	-83.9	496.1	1196	1027	-169
2014	67.6	393.1	151.4	612.2	36.4	330.6	144.8	512.4	-99.7	501.3	1221	1022	-199
2015	64.2	398.4	153.1	615.7	35.8	328.3	150.2	511.0	-104.7	506.4	1216	1009	-207
2016	66.8	379.2	151.9	597.9	35.5	317.9	147.5	505.7	-92.2	511.4	1169	989	-180
2017	65.6	367.3	155.0	588.0	34.8	316.2	148.4	505.1	-82.9	516.3	1139	978	-161
2018	60.4	335.1	151.9	547.4	36.0	315.6	144.8	498.3	-49.1	521.1	1050	956	-94
