Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	297.8	489.6	388.2	1175.6	293.4	620.0	383.2	1270.8	95.2	264.3	4448	4809	360
1966	311.2	521.2	418.5	1251.0	306.6	651.1	413.2	1338.3	87.3	268.2	4665	4990	326
1967	305.7	557.4	440.6	1303.6	301.1	678.2	434.9	1379.8	76.2	272.0	4793	5073	280
1968	317.2	581.9	472.6	1371.7	312.5	725.3	466.5	1464.3	92.6	275.7	4976	5312	336
1969	317.8	596.5	510.9	1425.2	313.1	764.7	504.3	1545.8	120.5	279.4	5101	5532	431
1970	316.3	627.7	547.3	1491.3	311.6	797.8	532.6	1594.6	103.3	283.2	5265	5630	365
1971	299.5	625.2	565.5	1490.2	295.1	824.9	550.3	1623.6	133.4	287.2	5189	5654	465
1972	310.4	639.7	570.7	1520.8	305.8	890.8	560.1	1725.8	205.0	291.2	5223	5927	704
1973	332.7	640.8	575.2	1548.7	327.8	941.0	559.1	1784.2	235.5	295.2	5246	6043	798
1974	325.6	618.2	552.3	1496.1	320.8	912.4	542.4	1720.0	223.9	299.3	4998	5746	748
1975	325.4	591.5	518.2	1435.1	320.6	897.4	503.4	1700.1	265.0	303.4	4730	5603	873
1976	350.2	578.1	514.9	1443.2	345.1	962.9	512.5	1787.0	343.9	307.5	4693	5811	1118
1977	364.3	592.7	520.6	1477.6	358.9	1011.9	505.7	1835.8	358.1	311.6	4742	5891	1149
1978	356.4	626.1	519.5	1501.9	351.1	999.5	510.7	1844.5	342.5	315.7	4757	5842	1085
1979	386.3	643.9	539.4	1569.6	380.5	987.8	529.6	1854.4	284.7	319.8	4908	5799	890
1980	399.6	670.7	534.3	1604.6	393.7	928.4	520.9	1804.5	199.9	323.9	4954	5572	617
1981	464.8	682.2	529.2	1676.2	405.5	873.3	510.2	1767.6	91.4	327.9	5111	5390	279
1982	472.8	706.3	502.4	1681.5	393.2	826.0	482.6	1679.1	-2.4	332.0	5065	5058	-7
1983	440.9	708.6	459.8	1609.4	408.3	814.6	455.5	1677.1	67.7	336.1	4789	4990	201
1984	508.2	728.3	497.1	1733.6	439.4	842.7	486.8	1767.3	33.7	340.1	5097	5196	99
1985	501.1	730.2	478.2	1709.5	448.3	842.0	474.0	1766.4	56.8	344.3	4965	5131	165
1986	503.2	704.9	461.3	1669.4	441.4	872.8	444.3	1733.5	64.1	348.5	4791	4975	184
1987	519.0	700.6	480.6	1700.1	461.1	893.6	469.0	1822.9	122.8	352.7	4820	5168	348
1988	538.1	696.8	502.2	1737.2	482.9	929.0	492.5	1898.6	161.4	357.0	4866	5318	452
1989	555.4	664.7	512.1	1732.2	488.5	935.8	522.4	1945.3	213.1	361.4	4793	5383	590
1990	580.9	654.5	527.3	1762.8	489.5	923.3	522.5	1923.1	160.4	365.8	4819	5257	438
1991	561.8	668.9	530.0	1760.8	484.2	904.8	533.8	1927.2	166.4	370.3	4755	5204	449
1992	557.7	663.2	542.2	1763.2	487.8	923.7	552.6	1969.3	206.2	374.9	4703	5253	550
1993	527.3	652.6	558.9	1738.8	502.3	930.2	567.9	2020.1	281.3	379.6	4581	5322	741
1994	574.9	648.4	586.8	1810.2	506.3	958.2	582.9	2060.7	250.6	384.3	4710	5362	652
1995	574.5	645.7	589.2	1809.4	512.3	952.7	607.0	2082.3	272.9	389.3	4648	5349	701
1996	591.4	659.9	597.6	1848.8	535.4	984.9	618.0	2151.0	302.2	394.3	4688	5455	766
1997	605.5	670.3	603.9	1879.7	547.2	1002.3	622.6	2177.6	297.8	399.6	4705	5450	745
1998	620.6	666.7	615.5	1902.9	554.4	1024.0	614.3	2179.0	276.1	404.8	4701	5383	682
1999	601.1	639.1	614.7	1855.0	552.5	1048.4	621.0	2253.7	398.8	409.9	4526	5499	973
2000	586.1	642.5	626.2	1854.8	577.7	1061.0	647.9	2296.9	442.1	414.7	4473	5539	1066
2001	604.7	646.1	640.1	1890.9	563.6	1060.7	619.9	2243.9	352.9	419.2	4511	5353	842
2002	579.2	652.3	624.0	1855.5	568.4	1060.1	643.7	2312.7	457.2	423.4	4382	5462	1080
2003	562.2	661.0	626.6	1849.8	575.2	1082.0	633.3	2311.9	462.2	427.5	4327	5408	1081
2004	583.5	660.2	616.4	1860.1	576.9	1125.0	636.7	2341.9	481.8	431.7	4309	5425	1116
2005	592.6	637.8	613.0	1843.3	587.3	1129.7	631.5	2365.3	522.0	436.1	4227	5423	1197
2006	606.9	637.6	627.3	1871.9	578.9	1120.5	627.8	2344.1	472.2	440.8	4247	5318	1071
2007	601.3	632.5	639.2	1873.1	586.2	1125.4	663.9	2428.8	555.7	445.7	4203	5450	1247
2008	609.4	612.0	653.3	1874.7	575.5	1071.4	669.2	2332.7	458.0	450.7	4160	5176	1016
2009	552.9	621.7	658.0	1832.6	505.2	1020.5	661.5	2209.4	376.8	455.6	4022	4849	827
2010	566.4	638.7	667.2	1872.3	536.3	1045.0	690.0	2302.6	430.2	460.4	4067	5002	935
2011	573.1	659.8	705.5	1938.4	507.5	1034.8	710.7	2268.0	329.6	464.9	4169	4878	709
2012	534.9	720.6	731.1	1986.6	449.9	1016.1	738.6	2204.9	218.3	469.3	4233	4698	465
2013	519.1	784.1	739.6	2042.8	465.4	1028.9	764.5	2272.5	229.7	473.6	4314	4799	485
2014	525.5	869.5	786.8	2181.7	463.2	1032.2	783.1	2267.7	86.0	477.8	4566	4746	180
2015	466.1	909.7	816.0	2191.8	404.8	1046.8	803.2	2234.2	42.4	482.0	4547	4635	88
2016	387.1	881.3	810.7	2079.1	371.7	1057.6	806.5	2255.7	176.6	486.2	4276	4639	363
2017	410.6	918.7	826.8	2156.1	365.1	1062.1	804.4	2246.4	90.3	490.5	4396	4580	184
2018	400.7	1027.1	906.2	2334.0	343.3	1076.8	879.1	2295.4	-38.6	494.7	4718	4640	-78
