Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	0.2	418.7	3.5	422.4	0.2	43.6	3.4	46.1	-376.3	57.7	7323	799	-6524
1966	0.2	467.2	4.2	471.7	0.2	44.9	4.2	47.6	-424.0	59.4	7944	803	-7142
1967	0.3	499.8	5.0	505.1	0.3	46.3	5.0	49.8	-455.3	61.1	8263	814	-7449
1968	0.3	562.4	6.3	569.0	0.3	47.8	6.2	52.3	-516.7	62.9	9040	831	-8209
1969	0.3	618.7	7.5	626.6	0.3	49.4	7.4	55.4	-571.2	64.8	9663	854	-8809
1970	0.4	693.3	8.9	702.5	0.4	51.5	8.1	57.5	-645.0	66.8	10512	861	-9651
1971	0.3	811.8	13.9	826.0	0.2	54.2	9.0	61.0	-765.0	68.9	11985	885	-11100
1972	0.4	903.6	17.2	921.2	0.4	58.3	10.2	67.4	-853.8	71.1	12954	947	-12007
1973	0.7	1058.7	19.7	1079.0	0.6	62.7	12.4	73.3	-1005.7	73.4	14697	999	-13698
1974	0.7	1091.2	20.6	1112.6	0.7	66.7	13.0	76.8	-1035.8	75.8	14670	1013	-13657
1975	1.3	978.7	22.7	1002.7	1.3	64.0	14.7	78.9	-923.9	78.4	12790	1006	-11784
1976	1.3	1113.2	23.6	1138.1	1.3	73.3	15.8	88.0	-1050.1	81.1	14036	1086	-12950
1977	1.3	1118.1	26.7	1146.2	1.3	83.1	18.4	99.9	-1046.3	83.9	13662	1191	-12471
1978	0.8	1064.6	25.9	1091.3	0.8	86.3	20.1	106.0	-985.2	86.9	12561	1220	-11340
1979	1.2	1089.1	31.6	1121.9	1.1	98.0	27.2	122.6	-999.3	90.1	12456	1361	-11095
1980	1.2	934.0	29.4	964.7	1.2	93.7	27.3	118.9	-845.7	93.5	10317	1272	-9045
1981	0.6	797.5	31.8	829.8	1.0	102.8	29.5	131.8	-698.0	97.2	8540	1357	-7183
1982	0.6	659.7	35.5	695.8	1.9	113.0	33.0	147.1	-548.7	101.1	6885	1455	-5430
1983	0.6	578.2	35.8	614.7	2.3	125.8	33.8	162.1	-452.6	105.1	5848	1542	-4306
1984	0.6	549.3	45.7	595.7	2.7	137.3	43.4	183.7	-412.0	109.3	5453	1681	-3771
1985	0.7	514.1	49.4	564.2	2.8	145.5	46.8	196.7	-367.5	113.4	4974	1734	-3240
1986	0.7	630.5	59.1	690.3	3.0	144.1	56.7	201.6	-488.6	117.7	5867	1714	-4153
1987	0.7	627.3	64.5	692.6	3.1	152.4	62.1	218.1	-474.4	121.9	5682	1789	-3892
1988	0.7	735.1	71.8	807.6	3.1	159.2	69.1	230.5	-577.1	126.1	6405	1828	-4577
1989	0.5	787.1	80.6	868.3	3.0	163.3	78.0	244.5	-623.7	130.2	6669	1878	-4791
1990	0.5	837.4	86.6	924.5	3.1	166.5	82.3	251.0	-673.6	134.1	6893	1871	-5022
1991	0.6	823.8	91.3	915.6	3.6	174.8	86.1	265.1	-650.5	137.9	6640	1923	-4717
1992	0.4	913.0	97.4	1010.9	4.1	184.9	98.4	288.3	-722.6	141.5	7144	2037	-5107
1993	0.7	948.0	90.3	1039.0	4.7	198.7	92.2	296.1	-743.0	145.0	7165	2042	-5124
1994	0.7	969.2	105.0	1074.9	5.0	219.7	106.6	332.6	-742.3	148.5	7238	2240	-4998
1995	0.7	975.4	119.1	1095.2	5.3	219.9	117.2	345.4	-749.8	152.1	7201	2271	-4930
1996	0.7	994.6	128.2	1123.5	6.2	224.8	122.2	355.7	-767.8	155.8	7213	2284	-4929
1997	0.6	1025.4	138.1	1164.1	6.7	235.3	129.2	373.8	-790.3	159.5	7297	2343	-4954
1998	0.8	1098.9	148.3	1248.0	7.3	229.9	139.5	373.7	-874.3	163.4	7639	2287	-5352
1999	0.7	1058.6	160.7	1220.0	7.1	228.7	148.8	390.8	-829.2	167.2	7296	2337	-4959
2000	0.7	1128.9	175.5	1305.1	7.7	239.0	157.6	403.6	-901.5	171.1	7630	2359	-5270
2001	0.7	1106.8	191.1	1298.6	8.7	247.3	167.5	423.3	-875.4	174.8	7427	2421	-5006
2002	0.7	1018.7	210.2	1229.6	9.1	251.8	184.5	451.7	-778.0	178.6	6884	2528	-4355
2003	0.7	1109.4	221.3	1331.5	9.5	261.6	193.8	464.4	-867.1	182.5	7295	2544	-4750
2004	0.8	1190.1	245.6	1436.5	9.6	277.2	213.4	497.6	-938.9	186.7	7695	2666	-5029
2005	1.0	1222.4	266.5	1489.9	9.8	295.8	229.0	534.0	-955.8	191.2	7792	2793	-4999
2006	1.0	1237.1	285.2	1523.4	9.8	309.2	242.4	560.1	-963.3	196.2	7766	2855	-4911
2007	1.1	1218.0	311.8	1530.9	9.9	320.9	263.1	602.1	-928.8	201.4	7600	2989	-4611
2008	1.0	1271.5	337.4	1609.8	9.7	340.6	289.8	639.9	-970.0	206.9	7779	3092	-4687
2009	0.7	1181.4	355.8	1537.9	9.6	352.0	298.6	665.8	-872.1	212.4	7240	3134	-4105
2010	0.7	1210.0	408.1	1618.8	10.1	357.1	326.8	704.4	-914.4	217.7	7435	3235	-4200
