<<<<<<< HEAD
#
# Data from BP World Energy Reports 2019 and 2020
# CC_2019, CC_2020 - oil and condensate, thousand barrels per day
# NGL_2019, NGL_2020 - NGL, thousand barrels per day
# Tot_2019_mtpy, CC_2020_mtpy - oil, condensate and NGPL combined, mln tonn per year
#
Year	CC_2019	NGL_2019	Tot_2019_mtpy	CC_2020	NGL_2020	Tot_2020_mtpy
2000	68252.5	6266.4	3597.4	68425.3	6292.5	3605.5
2001	68356.0	6407.4	3597.5	68507.9	6435.1	3604.8
2002	67424.9	6565.2	3554.7	67551.9	6593.0	3560.8
2003	70689.4	6471.4	3713.1	70803.4	6501.7	3718.6
2004	74033.7	6788.0	3898.2	74162.6	6816.6	3904.4
2005	74844.2	6948.8	3931.4	74971.5	6980.1	3937.7
2006	75468.7	7049.0	3965.2	75633.7	7077.6	3973.2
2007	75278.8	7111.8	3956.6	75426.5	7143.2	3963.8
2008	75857.0	7212.1	3998.7	75989.4	7244.7	4005.2
2009	73869.1	7541.1	3897.8	74012.6	7565.0	3904.8
2010	75226.1	8029.1	3976.9	75366.3	8043.0	3983.4
2011	75497.8	8510.9	4008.0	75637.7	8519.1	4014.4
2012	77336.2	8892.2	4120.3	77467.1	8899.0	4126.3
2013	77647.3	8999.6	4128.5	77789.1	9005.0	4134.9
2014	79151.8	9584.1	4223.2	79318.2	9591.7	4230.8
2015	81528.3	10018.4	4354.8	81710.8	10021.8	4362.9
2016	81350.7	10471.0	4368.0	81567.4	10505.0	4378.9
2017	81639.2	10862.4	4379.9	81926.2	10871.6	4393.5
2018	83161.2	11557.3	4474.3	83764.3	11489.8	4499.5
2019	-999.25	-999.25	-999.25	83182.0	12010.5	4484.5
=======
#
# Data from BP World Energy Reports 2019 and 2020
# CC_2019, CC_2020 - oil and condensate, thousand barrels per day
# NGL_2019, NGL_2020 - NGL, thousand barrels per day
# Tot_2019_mtpy, CC_2020_mtpy - oil, condensate and NGPL combined, mln tonn per year
#
Year	CC_2019	NGL_2019	Tot_2019_mtpy	CC_2020	NGL_2020	Tot_2020_mtpy
2000	68252.5	6266.4	3597.4	68425.3	6292.5	3605.5
2001	68356.0	6407.4	3597.5	68507.9	6435.1	3604.8
2002	67424.9	6565.2	3554.7	67551.9	6593.0	3560.8
2003	70689.4	6471.4	3713.1	70803.4	6501.7	3718.6
2004	74033.7	6788.0	3898.2	74162.6	6816.6	3904.4
2005	74844.2	6948.8	3931.4	74971.5	6980.1	3937.7
2006	75468.7	7049.0	3965.2	75633.7	7077.6	3973.2
2007	75278.8	7111.8	3956.6	75426.5	7143.2	3963.8
2008	75857.0	7212.1	3998.7	75989.4	7244.7	4005.2
2009	73869.1	7541.1	3897.8	74012.6	7565.0	3904.8
2010	75226.1	8029.1	3976.9	75366.3	8043.0	3983.4
2011	75497.8	8510.9	4008.0	75637.7	8519.1	4014.4
2012	77336.2	8892.2	4120.3	77467.1	8899.0	4126.3
2013	77647.3	8999.6	4128.5	77789.1	9005.0	4134.9
2014	79151.8	9584.1	4223.2	79318.2	9591.7	4230.8
2015	81528.3	10018.4	4354.8	81710.8	10021.8	4362.9
2016	81350.7	10471.0	4368.0	81567.4	10505.0	4378.9
2017	81639.2	10862.4	4379.9	81926.2	10871.6	4393.5
2018	83161.2	11557.3	4474.3	83764.3	11489.8	4499.5
2019	-999.25	-999.25	-999.25	83182.0	12010.5	4484.5
>>>>>>> afde50c1bc76a9e35753ca443277d62b107e3de2
