Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1965	301.9	242.9	106.0	650.8	297.4	168.3	104.6	560.2	-90.6	230.4	2825	2432	-393
1966	312.9	265.1	118.2	696.2	308.3	180.3	116.7	592.9	-103.3	233.1	2987	2544	-443
1967	317.7	288.1	130.2	736.0	313.0	196.4	128.5	624.6	-111.4	235.6	3124	2651	-473
1968	315.0	309.2	140.5	764.7	310.3	209.3	138.7	643.5	-121.2	237.9	3214	2705	-509
1969	321.0	328.3	150.2	799.5	316.2	222.6	148.3	673.1	-126.3	240.2	3329	2803	-526
1970	316.8	353.0	161.2	831.1	312.2	245.1	162.9	702.4	-128.7	242.4	3429	2898	-531
1971	323.2	377.0	173.0	873.2	318.5	259.9	178.1	738.3	-134.9	244.6	3570	3018	-551
1972	331.9	400.4	180.3	912.6	327.0	281.9	187.3	783.0	-129.7	246.9	3697	3172	-525
1973	335.8	429.0	192.5	957.3	330.9	303.1	203.7	820.1	-137.2	249.1	3843	3292	-551
1974	337.5	458.9	212.3	1008.6	332.5	333.1	216.0	858.0	-150.7	251.3	4014	3414	-600
1975	347.1	490.8	235.6	1073.5	342.0	348.8	235.7	914.6	-158.9	253.5	4235	3608	-627
1976	346.7	519.7	261.4	1127.8	341.6	358.4	259.4	944.3	-183.5	255.7	4411	3693	-718
1977	352.9	545.8	281.8	1180.6	347.7	372.1	277.9	979.5	-201.1	257.9	4578	3798	-780
1978	350.8	571.5	303.1	1225.5	345.6	394.8	296.3	1027.7	-197.8	260.1	4712	3952	-761
1979	353.4	585.6	331.2	1270.1	348.1	401.9	314.6	1044.2	-225.9	262.3	4842	3981	-861
1980	342.6	603.2	354.5	1300.2	337.5	421.5	324.2	1063.1	-237.1	264.6	4914	4018	-896
1981	346.3	608.8	379.0	1334.1	335.4	425.3	343.3	1090.7	-243.4	266.9	4998	4086	-912
1982	349.2	612.6	407.8	1369.6	340.5	422.3	370.6	1115.5	-254.1	269.3	5086	4142	-944
1983	348.9	616.3	436.3	1401.6	341.4	416.3	397.4	1153.4	-248.2	271.7	5159	4245	-913
1984	345.1	612.7	478.4	1436.3	338.2	416.5	433.6	1185.7	-250.5	274.1	5239	4325	-914
1985	247.4	589.9	477.6	1314.9	246.7	332.9	373.3	951.0	-363.9	276.6	4753	3438	-1315
1986	257.0	609.2	514.5	1380.6	255.3	337.4	383.1	958.6	-422.0	279.2	4945	3434	-1512
1987	260.0	619.1	550.3	1429.4	260.2	337.3	404.0	995.4	-434.0	281.7	5074	3533	-1541
1988	266.8	618.1	586.5	1471.4	257.1	337.3	425.7	1012.7	-458.7	284.2	5178	3564	-1614
1989	257.1	601.7	608.4	1467.1	248.8	339.1	435.3	1019.1	-448.0	286.3	5124	3559	-1565
1990	246.9	565.0	629.4	1441.4	231.3	335.3	439.4	997.6	-443.7	288.1	5003	3463	-1540
1991	231.3	510.8	619.5	1361.6	214.3	325.5	447.5	989.1	-372.5	289.3	4706	3419	-1287
1992	221.7	446.5	597.7	1265.9	201.2	305.8	426.8	935.0	-331.0	290.2	4363	3222	-1141
1993	198.4	398.7	585.1	1182.2	181.0	251.6	430.0	869.9	-312.3	290.6	4068	2993	-1075
1994	178.7	359.3	553.2	1091.2	162.0	217.5	403.9	785.3	-305.9	290.8	3753	2701	-1052
1995	162.4	354.3	537.1	1053.8	149.4	191.4	392.0	737.5	-316.3	290.7	3625	2537	-1088
1996	155.5	348.9	548.6	1053.0	144.6	167.9	396.6	714.9	-338.1	290.4	3626	2461	-1164
1997	149.2	357.4	512.6	1019.2	131.8	165.4	367.6	666.9	-352.3	290.0	3515	2300	-1215
1998	140.6	358.2	527.4	1026.2	124.4	158.9	381.4	662.3	-363.9	289.4	3546	2288	-1258
1999	144.8	365.8	539.8	1050.5	123.7	159.2	385.4	672.8	-377.6	288.8	3638	2330	-1308
2000	155.3	392.5	554.1	1101.9	125.9	157.0	388.8	673.9	-428.0	288.1	3824	2339	-1485
2001	164.1	423.8	556.0	1143.9	127.4	158.6	398.8	681.3	-462.6	287.5	3979	2370	-1609
2002	155.9	464.3	570.0	1190.2	128.3	154.0	401.6	689.5	-500.6	286.9	4148	2403	-1745
2003	170.1	511.5	596.1	1277.8	131.1	161.0	408.8	702.1	-575.7	286.4	4461	2451	-2010
2004	176.0	556.3	608.0	1340.3	128.6	160.8	422.9	711.5	-628.8	286.1	4684	2487	-2198
2005	174.4	575.7	620.4	1370.6	123.8	159.4	430.6	716.2	-654.3	286.0	4792	2504	-2288
2006	183.9	599.5	636.4	1419.8	127.5	166.9	447.5	741.5	-678.3	286.1	4963	2592	-2371
2007	187.5	624.2	643.8	1455.5	127.5	166.5	457.1	761.8	-693.6	286.4	5082	2660	-2422
