#
# IPCC 1990 temperature predictions
#
Year	Minimum	Likely	Maximum
1850	0.12	0.16	0.15
1855	0.12	0.18	0.15
1860	0.14	0.20	0.16
1865	0.15	0.22	0.16
1870	0.15	0.23	0.17
1875	0.16	0.23	0.16
1880	0.16	0.25	0.18
1885	0.16	0.27	0.19
1890	0.17	0.28	0.20
1895	0.19	0.30	0.23
1900	0.19	0.34	0.24
1905	0.20	0.39	0.25
1910	0.20	0.41	0.27
1915	0.21	0.44	0.31
1920	0.22	0.48	0.34
1925	0.22	0.51	0.36
1930	0.24	0.54	0.38
1935	0.26	0.55	0.38
1940	0.28	0.59	0.37
1945	0.31	0.61	0.40
1950	0.34	0.64	0.43
1955	0.35	0.69	0.48
1960	0.37	0.73	0.52
1965	0.40	0.81	0.58
1970	0.43	0.88	0.62
1975	0.48	0.98	0.70
1980	0.53	1.09	0.78
1985	0.60	1.25	0.88
1990	0.68	1.39	0.98
1995	0.75	1.53	1.06
2000	0.81	1.68	1.16
2005	0.91	1.88	1.32
2010	1.01	2.07	1.46
2015	1.11	2.27	1.58
2020	1.21	2.49	1.71
2025	1.32	2.72	1.87
2030	1.41	2.94	2.02
2035	1.50	3.17	2.19
2040	1.59	3.39	2.35
2045	1.72	3.66	2.53
2050	1.84	3.90	2.69
2055	1.94	4.16	2.85
2060	2.04	4.40	3.00
2065	2.15	4.67	3.19
2070	2.26	4.91	3.35
2075	2.37	5.14	3.48
2080	2.47	5.35	3.62
2085	2.58	5.58	3.80
2090	2.68	5.78	3.97
2095	2.79	6.08	4.13
2100	2.91	6.30	4.27
