# GISP2 Ice Core Temperature and Accumulation Data
# ---------------------------------------------------------------------
#  NOAA Paleoclimatology Program
#  and
# World Data Center for Paleoclimatology, Boulder
# ---------------------------------------------------------------------
# NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: GISP2 Ice Core Temperature and Accumulation Data
# LAST UPDATE: 3/2004 (Original Receipt by WDC Paleo)
# 
# 
# CONTRIBUTOR: Richard Alley, Pennsylvania State University.
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-013
# 
# 
# SUGGESTED DATA CITATION: Alley, R.B.. 2004.
# GISP2 Ice Core Temperature and Accumulation Data. 
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series #2004-013. 
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 
# 
# 
# ORIGINAL REFERENCE: Alley, R.B. 2000. 
# The Younger Dryas cold interval as viewed from central Greenland. 
# Quaternary Science Reviews 19:213-226.
# 
# 
# ADDITIONAL REFERENCE:
# Cuffey, K.M., and G.D. Clow. 1997. Temperature, accumulation, and ice sheet
# elevation in central Greenland through the last deglacial transition.
# Journal of Geophysical Research 102:26383-26396.
# 
# 
# GEOGRAPHIC REGION: Greenland
# PERIOD OF RECORD: 49 KYrBP - present
# 
# 
# DESCRIPTION: 
# Temperature interpretation based on stable isotope analysis, and 
# ice accumulation data, from the GISP2 ice core, central Greenland. 
# Data are smoothed from original measurements published by 
# Cuffey and Clow (1997), as presented in Figure 1 of Alley (2000).
# 
# 
# ABSTRACT: 
# Greenland ice-core records provide an exceptionally clear picture of 
# many aspects of abrupt climate changes, and particularly of those 
# associated with the Younger Dryas event, as reviewed here. 
# Well-preserved annual layers can be counted confidently, with only 1% 
# errors for the age of the end of the Younger Dryas 11,500 years before 
# present. Ice-flow corrections allow reconstruction of snow accumulation 
# rates over tens of thousands of years with little additional uncertainty. 
# Glaciochemical and particulate data record atmospheric-loading changes 
# with little uncertainty introduced by changes in snow accumulation. 
# Confident paleothermometry is provided by site-specific calibrations 
# using ice-isotopic ratios, borehole temperatures, and gas-isotopic ratios. 
# Near-simultaneous changes in ice-core paleoclimatic indicators of local, 
# regional, and more-widespread climate conditions demonstrate that much 
# of the Earth experienced abrupt climate changes synchronous with 
# Greenland within thirty years or less. Post-Younger Dryas changes 
# have not duplicated the size, extent and rapidity of these 
# paleoclimatic changes. 
# 
# 
# 
# DATA:
# 1. Temperature in central Greenland 
# 
# 
# Column 1: Age (thousand years before present) 
# Column 2: Temperature in central Greenland (degrees C) 
# 
Age Temperature
0.0951409 -31.5913
0.10713 -31.622
0.113149 -31.6026
0.119205 -31.6002
0.119205 -31.598
0.125451 -31.6656
0.132407 -31.7235
0.138807 -31.7583
0.145126 -31.8098
0.152263 -31.8415
0.152263 -31.8813
0.15938 -31.9559
0.165464 -32.0241
0.171847 -32.038
0.179421 -31.9872
0.186623 -31.9689
0.193605 -31.9954
0.200585 -32.022
0.200585 -32.0291
0.208106 -32.0198
0.215304 -32.0128
0.223068 -32.0254
0.231056 -32.0263
0.238562 -32.0213
0.245663 -32.0117
0.253461 -32.0337
0.261287 -32.0807
0.268471 -32.072
0.275943 -32.0267
0.284122 -32.0002
0.292523 -31.988
0.292523 -32.0024
0.29988 -32.0013
0.307306 -32.0133
0.314683 -32.0339
0.322114 -32.0898
0.330199 -32.0848
0.338479 -32.0848
0.346279 -32.037
0.354187 -32.005
0.361642 -31.9876
0.36936 -31.9811
0.377252 -31.9811
0.385137 -31.9926
0.393705 -31.9715
0.402092 -31.942
0.409803 -31.9187
0.417837 -31.9126
0.426195 -31.9385
0.435395 -31.9591
0.444124 -31.9648
0.444124 -32.0093
0.452151 -32.0243
0.460146 -31.9889
0.46821 -31.942
0.477154 -31.885
0.48586 -31.8772
0.493906 -31.8572
0.502128 -31.884
0.510547 -31.8584
0.51961 -31.8444
0.529979 -31.8076
0.538161 -31.8108
0.546961 -31.9024
0.555786 -31.9472
0.563878 -32.0128
0.571734 -32.0312
0.579811 -32.016
0.588184 -31.99
0.596972 -31.9488
0.604848 -31.9144
0.613338 -31.8792
0.621464 -31.8316
0.629783 -31.7896
0.638325 -31.7176
0.6469 -31.7244
0.655271 -31.7816
0.663814 -31.7732
0.672368 -31.7012
0.681144 -31.6588
0.689778 -31.7204
0.698622 -31.7436
0.707583 -31.8088
0.716254 -31.8296
0.724727 -31.8896
0.733744 -31.9744
0.742976 -31.9956
0.751827 -31.9024
0.760574 -31.7144
0.769708 -31.5472
0.77945 -31.4508
0.789362 -31.3852
0.798428 -31.3748
0.807722 -31.3456
0.81694 -31.3132
0.826615 -31.3156
0.835738 -31.3444
0.844395 -31.36
0.852799 -31.3656
0.860838 -31.3844
0.86922 -31.378
0.878411 -31.3224
0.886462 -31.2496
0.895097 -31.2776
0.903091 -31.2616
0.912228 -31.2084
0.922222 -31.0276
0.931148 -30.9288
0.939188 -30.8272
0.947684 -30.6236
0.955867 -30.4956
0.964939 -30.4628
0.973903 -30.5276
0.981625 -30.6348
0.990328 -30.6732
0.998549 -30.6752
1.00806 -30.7012
1.01675 -30.7436
1.02498 -30.886
1.03373 -30.986
1.04265 -31.0792
