#
# Population calibration file
# Delta indicates possible statistical error from Nico Keilman (1998)
#
# data obtained from:
#    UNESCO: http://www.uis.unesco.org/Datacentre/Pages/instructions.aspx?SPSLanguage=EN
#
Year,Population,Delta
1890,1530.880,76.544
1891,1542.852,77.143
1892,1554.824,77.741
1893,1566.796,78.340
1894,1578.768,78.938
1895,1590.740,79.537
1896,1602.712,80.136
1897,1614.684,80.734
1898,1626.656,81.333
1899,1638.628,81.931
1900,1650.600,82.530
1901,1662.864,83.143
1902,1675.128,83.756
1903,1687.392,84.370
1904,1699.656,84.983
1905,1711.920,85.596
1906,1724.184,86.209
1907,1736.448,86.822
1908,1748.712,87.436
1909,1760.976,88.049
1910,1773.240,88.662
1911,1786.680,89.334
1912,1800.120,90.006
1913,1813.560,90.678
1914,1827.000,91.350
1915,1840.440,92.022
1916,1853.880,92.694
1917,1867.320,93.366
1918,1880.760,94.038
1919,1894.200,94.710
1920,1907.640,95.382
1921,1925.604,96.280
1922,1943.568,97.178
1923,1961.532,98.077
1924,1979.496,98.975
1925,1997.460,99.873
1926,2015.424,100.771
1927,2033.388,101.669
1928,2051.352,102.568
1929,2069.316,103.466
1930,2087.280,104.364
1931,2108.835,105.442
1932,2130.390,106.520
1933,2151.945,107.597
1934,2173.500,108.675
1935,2195.055,109.753
1936,2216.610,110.831
1937,2238.165,111.908
1938,2259.720,112.986
1939,2281.275,114.064
1940,2302.830,115.142
1941,2325.479,116.274
1942,2348.128,117.406
1943,2370.777,118.539
1944,2393.426,119.671
1945,2416.075,120.804
1946,2438.724,121.936
1947,2461.373,123.069
1948,2484.022,124.201
1949,2506.671,125.334
1950,2529.320,126.466
1951,2590.435,129.522
1952,2651.550,132.578
1953,2712.665,135.633
1954,2773.780,138.689
1955,2834.895,141.745
1956,2896.010,144.801
1957,2957.125,147.856
1958,3018.240,150.912
1959,3079.355,153.968
1960,3140.470,62.809
1961,3195.000,63.900
1962,3249.530,64.991
1963,3304.060,66.081
1964,3358.590,67.172
1965,3413.120,68.262
1966,3467.650,69.353
1967,3522.180,70.444
1968,3576.710,71.534
1969,3631.240,72.625
1970,3685.770,73.715
1971,3760.147,75.203
1972,3834.523,76.690
1973,3908.900,78.178
1974,3983.277,79.666
1975,4057.654,81.153
1976,4132.030,82.641
1977,4206.407,84.128
1978,4280.784,85.616
1979,4355.160,87.103
1980,4429.537,88.591
1981,4507.256,90.145
1982,4587.990,91.760
1983,4669.334,93.387
1984,4750.431,95.009
1985,4833.376,96.668
1986,4919.166,98.383
1987,5006.055,100.121
1988,5094.897,101.898
1989,5183.729,103.675
1990,5281.067,105.621
1991,5368.055,107.361
1992,5451.519,109.030
1993,5535.815,110.716
1994,5619.293,112.386
1995,5704.010,114.080
1996,5786.868,115.737
1997,5869.975,117.400
1998,5952.241,119.045
1999,6033.713,120.674
2000,6114.219,122.284
2001,6193.971,123.879
2002,6273.299,125.466
2003,6352.797,127.056
2004,6432.849,128.657
2005,6513.296,130.266
2006,6594.243,131.885
2007,6675.429,133.509
2008,6757.984,135.160
2009,6840.742,136.815
2010,6923.613,138.472
2011,7006.968,140.139
2012,7088.946,141.779
2013,7174.300,143.486
2014,7260.652,145.213
2015,7348.043,146.961
2016,7432.663,148.653
