Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
Albania	1.3	2.9	6.0	1.7	54.2	78.2	2.31
Antigua and Barbuda	0.0	0.1	4.4	2.1	57.5	76.2	2.16
Argentina	17.2	43.4	3.2	2.3	61.4	76.4	2.53
Armenia	1.4	2.9	4.1	1.6	62.0	74.4	2.16
Aruba	0.0	0.1	5.8	1.8	58.4	75.7	2.74
Australia	8.2	23.8	3.0	1.9	68.8	82.7	2.91
Azerbaijan	2.9	9.6	5.1	2.1	57.4	71.9	3.28
Bahamas	0.1	0.4	4.0	1.8	59.2	75.5	4.89
Barbados	0.2	0.3	4.5	1.8	56.1	75.8	1.35
Bosnia and Herzegovina	2.7	3.5	5.3	1.3	51.4	76.7	1.33
Brazil	54.0	206.0	6.1	1.7	50.1	75.3	3.82
Brunei	0.0	0.4	6.9	1.9	57.2	77.0	8.70
Canada	13.7	35.9	3.5	1.6	68.5	82.2	2.62
Chile	6.2	17.8	5.1	1.8	54.0	79.3	2.87
China, Hong Kong SAR	2.0	7.2	4.4	1.3	62.1	83.8	3.67
China, Macao SAR	0.2	0.6	4.1	1.3	59.9	83.7	3.06
China	554.4	1397.0	6.7	1.6	43.0	76.1	2.52
Costa Rica	1.0	4.8	5.7	1.8	55.1	79.6	5.01
Cuba	5.9	11.5	4.8	1.7	58.2	79.6	1.94
Curacao	0.1	0.2	4.9	2.1	58.8	78.3	1.58
Cyprus	0.5	1.2	3.9	1.4	65.8	80.3	2.35
Dem. People's Republic of Korea	10.5	25.2	1.9	1.9	29.7	71.5	2.39
Finland	4.0	5.5	3.1	1.8	65.5	81.1	1.37
Grenada	0.1	0.1	5.2	2.1	55.2	73.5	1.39
Guadeloupe	0.2	0.5	5.6	2.0	51.7	81.1	2.14
Guam	0.1	0.2	5.4	2.4	56.1	79.4	2.71
Guyana	0.4	0.8	5.7	2.5	58.4	66.5	1.89
Iceland	0.1	0.3	3.6	1.9	71.7	82.6	2.31
Ireland	2.9	4.7	3.5	2.0	65.6	81.3	1.61
Jamaica	1.4	2.9	3.8	2.0	56.7	75.8	2.05
Japan	82.8	128.0	3.4	1.4	61.2	83.6	1.55
Kuwait	0.2	3.9	7.2	2.0	51.4	74.6	25.71
Lebanon	1.3	5.9	5.8	1.7	59.6	79.4	4.38
Macedonia	1.3	2.1	5.5	1.5	53.0	75.5	1.66
Malaysia	6.1	30.7	6.4	2.1	53.5	75.1	5.03
Malta	0.3	0.4	4.2	1.4	65.4	80.7	1.37
Martinique	0.2	0.4	5.6	1.9	54.2	81.8	1.74
Moldova	2.3	4.1	3.5	1.2	58.1	71.5	1.74
Montenegro	0.4	0.6	4.6	1.7	59.2	76.9	1.59
Netherlands	10.0	16.9	3.1	1.7	71.4	81.7	1.69
New Zealand	1.9	4.6	3.4	2.0	69.3	81.7	2.42
Norway	3.3	5.2	2.5	1.8	72.3	82.0	1.59
Poland	24.8	38.3	3.5	1.3	59.1	77.4	1.54
Portugal	8.4	10.4	3.1	1.3	59.5	81.0	1.24
Puerto Rico	2.2	3.7	5.0	1.5	60.9	79.8	1.66
Qatar	0.0	2.5	7.0	1.9	53.6	78.0	99.25
Republic of Korea	19.2	50.6	5.0	1.3	46.7	81.9	2.63
Romania	16.2	19.9	3.0	1.5	61.1	75.3	1.22
Saint Lucia	0.1	0.2	5.3	1.5	52.0	75.3	2.14
Serbia	6.7	8.9	3.6	1.6	58.2	75.1	1.31
Seychelles	0.0	0.1	5.2	2.3	58.0	73.3	2.58
Singapore	1.0	5.5	6.5	1.2	58.4	82.8	5.42
Slovakia	3.4	5.4	3.6	1.4	62.2	76.7	1.58
Slovenia	1.5	2.1	2.9	1.6	64.5	80.8	1.41
Sri Lanka	8.0	20.7	5.6	2.1	52.5	75.1	2.60
Taiwan	7.6	23.5	6.9	1.2	55.6	79.7	3.08
Trinidad and Tobago	0.6	1.4	5.3	1.8	56.9	70.6	2.11
United States of America	158.8	319.9	3.1	1.9	68.2	79.2	2.01
United States Virgin Islands	0.0	0.1	5.1	2.2	61.5	79.6	3.92
Uruguay	2.2	3.4	2.7	2.0	65.8	77.3	1.53
Uzbekistan	6.3	31.0	5.1	2.3	55.3	71.2	4.95
Venezuela	5.5	31.2	6.5	2.3	53.7	74.4	5.68
Vietnam	24.8	93.6	5.0	2.0	51.8	76.1	3.77
TOTAL Group	1099.4	2684.8	5.3	1.7	51.6	77.1	2.44
