Country	Population(1950)	Population(2015)	TFR(1950)	TFR(2015)	LEB(1950)	LEB(2015)	P(2015)/P(1950)
French Guiana	0.0	0.3	5.1	3.4	52.3	79.7	10.55
Israel	1.3	8.1	4.5	3.0	68.3	82.3	6.41
Kazakhstan	6.7	17.7	4.3	2.7	54.2	69.7	2.65
Kyrgyzstan	1.7	5.9	3.9	3.1	51.9	70.8	3.37
Mongolia	0.8	3.0	5.5	2.8	42.5	69.1	3.82
Niger	2.6	19.9	7.3	7.3	34.4	59.7	7.77
Nigeria	37.9	181.2	6.4	5.6	33.1	53.0	4.79
Syria	3.4	18.7	7.2	3.0	46.4	69.9	5.49
Tajikistan	1.5	8.5	5.0	3.4	52.2	70.9	5.58
Timor-Leste	0.4	1.2	6.5	5.6	29.0	68.6	2.86
Turkmenistan	1.2	5.6	4.9	2.9	50.4	67.7	4.60
Zimbabwe	2.7	15.8	6.8	3.8	47.7	60.4	5.74
TOTAL Group	60.3	285.9	6.0	5.0	39.1	58.3	4.74
